Serial number,Cement(kg),Sand,CA,Water,Slump(mm),Strength (MPa)
1,18.06,21.96,52.22,7.76,0,38.67
2,21.04,20.85,48.64,9.47,155,43.7
3,18.85,21.8,50.87,8.48,40,47.01
4,17.18,23.01,51.21,8.6,135,45.59
5,17.63,21.85,53.48,7.04,0,57.38
6,18.7,19.86,52.84,8.6,20,46.7
7,14.66,21.92,56.09,7.33,10,29.9
8,14.65,23.46,54.56,7.33,20,29.15
9,18.07,21.55,52.06,8.31,40,33.69
10,20.58,20.49,49.46,9.47,20,35.72
11,16.56,22.8,53.2,7.45,20,20
12,18.78,22.15,51.69,7.38,30,38.33
13,20.87,21.48,50.13,7.53,40,32
14,15.7,23.17,54.06,7.07,0,30.45
15,18.06,21.96,52.22,7.76,0,36.15
16,19.55,21.37,50.83,8.25,20,50
17,13.93,24.52,54.58,6.97,15,25.33
18,15.43,23.61,53.55,7.41,8,26.67
19,16.73,23.02,52.22,8.02,30,28
20,15.12,21.17,56.9,6.8,5,28.77
21,17.38,20.08,55.06,7.47,10,36.29
22,19.43,19.12,53.49,7.96,28,36.68
23,13.63,22.36,57.21,6.81,10,28
24,15.42,21.39,55.8,7.4,0,33.72
25,16.46,20.96,54.69,7.9,75,29.87
26,14.09,23.71,55.16,7.04,29,31.33
27,15.42,23.11,53.75,7.71,9,30.07
28,17.4,22.32,51.58,8.7,36,28.86
29,15.12,21.17,56.9,6.8,5,28.77
30,17.38,20.08,55.06,7.47,10,36.29
31,19.43,19.12,53.49,7.96,28,36.68
32,12.41,23.49,57.28,6.82,0,17.42
33,14.17,22.47,55.85,7.51,8,25.88
34,18.34,27.86,45.54,8.27,30,37.33
35,20.23,26.82,43.85,9.1,20,34
36,22.56,25.44,42.3,9.7,40,25.63
37,23.08,25.13,42.1,9.69,95,34.93
38,13.54,25.3,56.2,4.96,0,24.91
39,16.25,23.15,52.36,8.24,9,27.12
40,17.16,22.6,51.13,9.1,30,21.88
41,15.34,28.03,49.72,6.9,50,30
42,15.97,27.72,48.97,7.34,70,33.33
43,15.66,27.71,48.95,7.68,70,27.33
44,16.52,21.14,54.09,8.26,10,35.75
45,13.63,22.36,57.21,6.81,10,31.76
46,15.42,21.39,55.82,7.36,0,33.72
47,16.49,21,54.8,7.71,75,29.87
48,15.97,27.72,48.97,7.34,70,33
49,17.67,26.14,48.77,7.42,70,38.67
50,17.72,26.06,48.61,7.62,70,43.11
51,16.4,27.41,48.98,7.22,60,30.66
52,16.42,27.48,48.54,7.55,60,33.33
53,15.66,27.71,48.95,7.68,70,27.33
54,15.97,27.72,48.97,7.34,70,33
55,17.67,26.14,48.77,7.42,30,38.67
56,18.08,25.62,48.7,7.6,20,40.01
57,14.94,29.04,49.45,6.57,85,34.22
58,16.31,28.08,48.6,7.01,105,33
59,17.07,26.27,49.15,7.51,70,31.83
60,17.62,26.12,48.86,7.4,70,38.67
61,15.02,27.09,50.68,7.21,60,26.97
62,15.83,27.13,49.6,7.44,60,33
